feature,ks_statistic,p_value,drifted
agg_feat_7,0.995741,0.0,True
agg_feat_9,0.994841,0.0,True
agg_feat_42,0.994441,0.0,True
agg_feat_6,0.993101,0.0,True
agg_feat_45,0.960153,0.0,True
agg_feat_43,0.927873,0.0,True
trans_feat_1,0.656494,0.0,True
agg_feat_12,0.601085,0.0,True
agg_feat_15,0.552839,0.0,True
agg_feat_18,0.501099,0.0,True
agg_feat_48,0.493477,0.0,True
agg_feat_13,0.488473,0.0,True
agg_feat_21,0.485056,0.0,True
agg_feat_57,0.459026,0.0,True
trans_feat_2,0.443535,0.0,True
agg_feat_54,0.418803,0.0,True
agg_feat_19,0.366759,0.0,True
agg_feat_51,0.354805,0.0,True
agg_feat_49,0.338974,0.0,True
agg_feat_55,0.32556,0.0,True
agg_feat_50,0.324441,0.0,True
agg_feat_62,0.209325,0.0,True
agg_feat_61,0.205725,0.0,True
trans_feat_90,0.19923,0.0,True
agg_feat_63,0.197375,0.0,True
trans_feat_63,0.196951,0.0,True
trans_feat_57,0.195107,0.0,True
trans_feat_60,0.187529,0.0,True
trans_feat_66,0.187529,0.0,True
trans_feat_78,0.17974,0.0,True
trans_feat_88,0.178207,0.0,True
trans_feat_9,0.177799,0.0,True
trans_feat_65,0.176569,0.0,True
trans_feat_59,0.176569,0.0,True
trans_feat_76,0.175139,0.0,True
agg_feat_31,0.172035,0.0,True
trans_feat_52,0.171635,0.0,True
trans_feat_53,0.170307,0.0,True
trans_feat_75,0.16845,0.0,True
trans_feat_11,0.166601,0.0,True
agg_feat_38,0.166496,0.0,True
agg_feat_56,0.165724,0.0,True
trans_feat_89,0.165475,0.0,True
agg_feat_68,0.165314,0.0,True
trans_feat_29,0.163857,0.0,True
trans_feat_23,0.163829,0.0,True
trans_feat_12,0.162866,0.0,True
agg_feat_0,0.161667,0.0,True
agg_feat_2,0.161379,0.0,True
agg_feat_36,0.159627,0.0,True
trans_feat_64,0.159534,0.0,True
trans_feat_58,0.159514,0.0,True
agg_feat_33,0.158349,0.0,True
trans_feat_84,0.157983,0.0,True
agg_feat_30,0.15595,0.0,True
trans_feat_81,0.152416,0.0,True
trans_feat_82,0.151358,0.0,True
agg_feat_69,0.147667,0.0,True
trans_feat_54,0.146639,0.0,True
agg_feat_3,0.145606,0.0,True
trans_feat_5,0.142709,0.0,True
trans_feat_41,0.141883,0.0,True
trans_feat_3,0.140753,0.0,True
trans_feat_47,0.140045,0.0,True
agg_feat_67,0.13839,0.0,True
agg_feat_8,0.138057,0.0,True
agg_feat_44,0.134839,0.0,True
agg_feat_37,0.13367,0.0,True
trans_feat_19,0.133162,0.0,True
agg_feat_1,0.133017,0.0,True
trans_feat_20,0.131263,0.0,True
agg_feat_53,0.130172,0.0,True
agg_feat_59,0.129928,0.0,True
agg_feat_58,0.129803,0.0,True
agg_feat_52,0.12802,0.0,True
agg_feat_14,0.126806,0.0,True
trans_feat_28,0.126463,0.0,True
trans_feat_22,0.126403,0.0,True
trans_feat_77,0.123423,0.0,True
trans_feat_15,0.119617,0.0,True
agg_feat_39,0.118513,0.0,True
trans_feat_83,0.11668,0.0,True
trans_feat_92,0.116671,0.0,True
trans_feat_91,0.114304,0.0,True
agg_feat_25,0.112595,0.0,True
agg_feat_27,0.112564,0.0,True
agg_feat_5,0.111292,0.0,True
agg_feat_4,0.110128,0.0,True
trans_feat_7,0.109471,0.0,True
trans_feat_32,0.107936,0.0,True
trans_feat_26,0.107929,0.0,True
trans_feat_24,0.107181,0.0,True
trans_feat_30,0.107174,0.0,True
trans_feat_25,0.105225,0.0,True
trans_feat_31,0.105199,0.0,True
agg_feat_20,0.103949,0.0,True
agg_feat_60,0.103431,0.0,True
trans_feat_55,0.1032,0.0,True
trans_feat_56,0.102863,0.0,True
trans_feat_87,0.102024,0.0,True
trans_feat_67,0.101972,0.0,True
trans_feat_61,0.101179,0.0,True
trans_feat_73,0.0995,0.0,True
trans_feat_74,0.098696,0.0,True
trans_feat_17,0.098511,0.0,True
trans_feat_13,0.097767,0.0,True
trans_feat_4,0.097734,0.0,True
agg_feat_70,0.09444,0.0,True
agg_feat_41,0.094388,0.0,True
agg_feat_71,0.093179,0.0,True
agg_feat_40,0.0926,0.0,True
trans_feat_40,0.09059,0.0,True
trans_feat_8,0.088485,0.0,True
trans_feat_0,0.087518,0.0,True
agg_feat_10,0.087098,0.0,True
agg_feat_11,0.086142,0.0,True
trans_feat_18,0.085539,0.0,True
trans_feat_35,0.083634,0.0,True
trans_feat_16,0.083459,0.0,True
trans_feat_51,0.082635,0.0,True
trans_feat_46,0.08064,0.0,True
trans_feat_42,0.079973,0.0,True
agg_feat_65,0.079951,0.0,True
agg_feat_64,0.079951,0.0,True
trans_feat_39,0.079473,0.0,True
trans_feat_48,0.078882,0.0,True
trans_feat_45,0.078428,0.0,True
trans_feat_85,0.077678,0.0,True
trans_feat_68,0.07739,0.0,True
trans_feat_62,0.076409,0.0,True
trans_feat_86,0.075856,0.0,True
trans_feat_21,0.074404,0.0,True
trans_feat_27,0.074351,0.0,True
trans_feat_10,0.074163,0.0,True
trans_feat_79,0.072626,0.0,True
trans_feat_80,0.070456,0.0,True
trans_feat_72,0.06861,0.0,True
agg_feat_26,0.067954,0.0,True
agg_feat_46,0.06594,0.0,True
trans_feat_70,0.06558,0.0,True
agg_feat_24,0.0652,0.0,True
trans_feat_49,0.063665,0.0,True
trans_feat_43,0.06238,0.0,True
trans_feat_44,0.062336,0.0,True
agg_feat_47,0.06203,0.0,True
trans_feat_71,0.06119,0.0,True
trans_feat_50,0.061014,0.0,True
agg_feat_32,0.060599,0.0,True
agg_feat_66,0.058019,0.0,True
agg_feat_28,0.050638,0.0,True
agg_feat_29,0.048901,0.0,True
